SK_ID_CURR,TARGET
100001,0.066354565
100005,0.103460185
100013,0.06942904
100028,0.052624162
100038,0.25440556
100042,0.121211335
100057,0.03993608
100065,0.0733314
100066,0.036953077
100067,0.15930487
100074,0.19712323
100090,0.07720233
100091,0.1189243
100092,0.122144066
100106,0.073405564
100107,0.10483569
100109,0.0664998
100117,0.035223573
100128,0.105783895
100141,0.11430322
100150,0.039499737
100168,0.071645364
100169,0.081003115
100170,0.13496293
100171,0.07226698
100172,0.15399028
100184,0.12531722
100187,0.10191361
100212,0.18029945
100222,0.20462711
100223,0.037093636
100232,0.091892146
100241,0.17689009
100245,0.04154776
100253,0.050362617
100256,0.15420458
100271,0.059863575
100278,0.13993764
100280,0.032061707
100306,0.18406212
100311,0.16624741
100312,0.045412667
100330,0.098521225
100331,0.25171965
100352,0.09244049
100358,0.0862908
100367,0.089767404
100382,0.24398999
100384,0.1778576
100385,0.17657153
100386,0.12569118
100399,0.041548982
100404,0.20630859
100416,0.042242747
100422,0.100278944
100426,0.063613005
100438,0.040069785
100444,0.17022595
100445,0.2530244
100446,0.14547789
100447,0.077412955
100450,0.15814345
100466,0.050513223
100483,0.13627015
100484,0.03454277
100494,0.1100465
100510,0.15482654
100512,0.24352972
100517,0.03468069
100548,0.109078616
100551,0.047048222
100552,0.12277821
100553,0.053906363
100561,0.19457483
100568,0.37778878
100569,0.26807326
100591,0.1575954
100592,0.07786812
100602,0.16265593
100607,0.093014225
100613,0.2669503
100617,0.15508027
100618,0.082540125
100622,0.09575934
100625,0.24091591
100677,0.1251209
100699,0.060304064
100702,0.4434416
100711,0.15032563
100729,0.15029174
100740,0.37166768
100744,0.2707942
100745,0.053657684
100747,0.18831398
100751,0.26025882
100752,0.28575814
100753,0.22871464
100754,0.28612816
100760,0.09092599
100762,0.17261568
100763,0.14998756
100765,0.07562508
100770,0.15241182
100772,0.041348014
100777,0.10757597
100791,0.052063636
100792,0.03192554
100797,0.034213208
100823,0.046634912
100826,0.05681434
100830,0.086291
100836,0.22516073
100872,0.056116473
100910,0.23928155
100913,0.15741433
100918,0.15821777
100931,0.034607407
100952,0.065584965
100953,0.045691334
100965,0.20246966
100970,0.08326129
100982,0.118684486
100983,0.15643911
100984,0.06381764
100987,0.07923053
100997,0.08398801
100998,0.13669987
101002,0.0746305
101005,0.4004488
101008,0.30217174
101020,0.27974597
101021,0.05193637
101024,0.07904403
101025,0.1801925
101026,0.110418476
101031,0.099663295
101041,0.042706452
101051,0.033815842
101055,0.10105964
101056,0.28165668
101057,0.1666987
101064,0.061943978
101079,0.18180864
101087,0.08538542
101090,0.08403472
101092,0.12918757
101097,0.19923954
101099,0.060006876
101107,0.09656599
101118,0.057358745
101125,0.092126295
101126,0.043663613
101128,0.06520993
101136,0.3058244
101140,0.19108377
101149,0.4325225
101160,0.25579822
101169,0.38415256
101181,0.038491935
101186,0.046826355
101190,0.117800586
101193,0.21725805
101194,0.14532791
101198,0.21702625
101200,0.1539848
101204,0.072448835
101211,0.10566127
101213,0.10623019
101223,0.14201188
101225,0.21120055
101237,0.07786045
101243,0.1057042
101244,0.32309484
101258,0.11756011
101259,0.18082345
101268,0.15031825
101269,0.06747949
101271,0.12859419
101279,0.16984338
101281,0.40095267
101287,0.12246266
101292,0.2742147
101294,0.052165534
101296,0.117334954
101297,0.04709804
101299,0.1264884
101301,0.0541395
101305,0.100110024
101308,0.13859364
101318,0.068505816
101327,0.3187202
101329,0.043388467
101332,0.23398809
101337,0.045004208
101343,0.041094776
101345,0.08377687
101346,0.038086846
101353,0.04195478
101354,0.122949176
101355,0.22012249
101356,0.08102678
101362,0.07226008
101363,0.493794
101365,0.09866593
101366,0.21793143
101367,0.31302696
101368,0.029746028
101374,0.18089277
101380,0.085473396
101383,0.09414221
101398,0.103898965
101399,0.2192703
101401,0.37849456
101412,0.09339663
101426,0.07144297
101427,0.479748
101428,0.22348753
101429,0.3833949
101434,0.092240706
101440,0.14721839
101448,0.27397978
101449,0.07034637
